word,difficulty
بيت,easy
مدرسة,easy
كتاب,easy
قلم,easy
دفتر,easy
باب,easy
نافذة,easy
كرسي,easy
طاولة,easy
معلم,easy
طالب,easy
ماء,easy
شمس,easy
قمر,easy
أرض,easy
سماء,easy
هاتف,easy
سيارة,easy
شارع,easy
طعام,easy
خبز,easy
حليب,easy
سكر,easy
ملح,easy
وقت,easy
يوم,easy
ليلة,easy
صباح,easy
مساء,easy
ساعة,easy
دقيقة,easy
سنة,easy
أسبوع,easy
مدينة,easy
قرية,easy
مسجد,easy
سوق,easy
بحر,easy
نهر,easy
جبل,easy
وادي,easy
حديقة,easy
زهرة,easy
شجرة,easy
ورقة,easy
لعبة,easy
كرة,easy
صورة,easy
صوت,easy
ضوء,easy
غرفة,easy
مطبخ,easy
حمام,easy
سرير,easy
ملابس,easy
حذاء,easy
حقيبة,easy
مفتاح,easy
مكتب,easy
درس,easy
مكتبة,medium
ثقافة,medium
مهارة,medium
طبيعة,medium
تجربة,medium
قراءة,medium
كتابة,medium
مساحة,medium
جودة,medium
تاريخ,medium
جغرافيا,medium
رياضة,medium
موسيقى,medium
مسرح,medium
اجتماع,medium
برنامج,medium
مشروع,medium
تدريب,medium
إدارة,medium
اقتصاد,medium
مجتمع,medium
حماية,medium
بيئة,medium
طاقة,medium
وسائل,medium
حاسوب,medium
شاشة,medium
لوحة,medium
معادلة,medium
مختبر,medium
استثنائي,hard
مسؤولية,hard
تفاؤل,hard
تشاؤم,hard
استراتيجية,hard
استقلالية,hard
احتمالية,hard
استيعاب,hard
التزام,hard
انتقال,hard
استقرار,hard
استضافة,hard
استفسار,hard
ابتكار,hard
استنتاج,hard
مفاجأة,hard
تأهيل,hard
تأكيد,hard
إنجازات,hard
مصطلحات,hard
استدامة,hard
تكنولوجيا,hard
برمجة,hard
إسعاف,hard
اقتراح,hard
إعفاء,hard
إشراف,hard
إملاء,hard
استجابة,hard
استثمار,hard
